# Constructed from biom file					
OTU_ID	BHBS	BPS	ISED	LBS	taxa
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF9;f__GIF9	0	0	0.000577336	0	GIF9
d__Bacteria;p__Acidobacteriota;c__Subgroup_11;o__Subgroup_11;f__Subgroup_11	0	0	0.000814822	0.010149254	Subgroup_11
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__uncultured;f__uncultured	0.039824732	0	9.83E-05	0	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__uncultured;f__uncultured
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae	0	0.004141528	0.005978094	0.004179104	Omnitrophaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidetes_BD2-2	0	0.005573167	0.004667827	0.00278607	Bacteroidetes_BD2-2
d__Bacteria;p__Actinobacteriota;c__RBG-16-55-12;o__RBG-16-55-12;f__RBG-16-55-12	0	0	0.000458594	0	RBG-16-55-12
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20	0	0.001482769	0.000847579	0.007562189	TRA3-20
d__Bacteria;p__NB1-j;c__NB1-j;o__NB1-j;f__NB1-j	0	0	0.00074112	0.002985075	NB1-j
d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108	0	0	0.000388986	0	MB-A2-108
d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae	0	0.001227119	0.002776129	0.004179104	Leptospiraceae
d__Bacteria;p__Firmicutes;c__Limnochordia;o__Limnochordia;f__Limnochordia	0	0.00046017	0.000921282	0	Limnochordia
d__Bacteria;p__Zixibacteria;c__Zixibacteria;o__Zixibacteria;f__Zixibacteria	0	0.00071582	0.002903061	0.002985075	Zixibacteria
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured	0	0	0.000282526	0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae	0.01382668	0	0	0	Thermoplasmataceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae	0.000584226	0.003681358	0.003934896	0.005174129	Nitrosomonadaceae
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae	0	0.008692095	0.011509878	0.038606965	Pedosphaeraceae
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae	0	0	0.003058655	0	Methylomirabilaceae
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiales	0	0	0.000282526	0	Frankiales
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__CPla-3_termite_group	0.013047712	0	0	0	CPla-3_termite_group
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured	0	0	9.42E-05	0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;f__Geothermobacteraceae	0	0.002914408	0.000921282	0	Geothermobacteraceae
d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B);o__SAR324_clade(Marine_group_B);f__SAR324_clade(Marine_group_B)	0	0.001278249	0.001478145	0.012338308	SAR324_clade(Marine_group_B)
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__ADurb.Bin180;f__ADurb.Bin180	0	0	0.000528201	0	ADurb.Bin180
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	0	0	0.000434026	0	Gaiellaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	0	0	0.000651039	0.004378109	Beijerinckiaceae
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256	0.009152872	0	0	0	IMCC26256
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	0	0.00020452	0.012807862	0.000995025	Leptotrichiaceae
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;f__Desulfuromonadaceae	0	0	0.000626471	0	Desulfuromonadaceae
d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia	0	0	0.000180162	0	Bathyarchaeia
