# Constructed from biom file									
OTU_ID	BB	BP01	BP02	BP03	LB	MC1	MC2	N_ctrl	taxa
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae	0	0.002217295	0.003141062	0.005313496	0	0	0	0	Sandaracinaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae	0	0.004065041	0.005996573	0.006983452	0	0	0	0	Sulfuricellaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Acidaminobacteraceae	0	0.002402069	0.001998858	0.001214513	0	0	0	0	Acidaminobacteraceae
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae	0	0.00203252	0.003426613	0.000455443	0	0	0	0	Thermoanaerobaculaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae	0	0.010162602	0.014277556	0.003947169	0	0	0	0	Marinilabiliaceae
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae	0	0.000739098	0	0.000759071	0	0	0	0	Armatimonadaceae
d__Bacteria;p__Chloroflexi;c__SHA-26;o__SHA-26;f__SHA-26	0	0.000184775	0	0.000151814	0	0	0	0	SHA-26
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__PHOS-HE36	0	0.000184775	0	0.000151814	0	0	0	0	PHOS-HE36
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae	0	0.000554324	0.000571102	0.000607257	0	0	0	0	Bdellovibrionaceae
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	0	0.000184775	0	0.000455443	0	0	0	0	Propionibacteriaceae
d__Bacteria;p__Firmicutes;c__Limnochordia;o__Limnochordia;f__Limnochordia	0	0.000369549	0	0.000455443	0	0	0	0	Limnochordia
d__Bacteria;p__Planctomycetota;c__vadinHA49;o__vadinHA49;f__vadinHA49	0	0.000184775	0.000571102	0.000151814	0	0	0	0	vadinHA49
