file	percent	reads	taxon_id	taxa
BP.kaiju.out	0.007415	6771	543371	Thermoanaerobacterales Family III. Incertae Sedis
BP.kaiju.out	0.007382	6741	2772534	Vicingaceae
BP.kaiju.out	0.007372	6732	92713	Parachlamydiaceae
BP.kaiju.out	0.007279	6647	204431	Fibrobacteraceae
BP.kaiju.out	0.007185	6561	1643948	Kosmotogaceae
BP.kaiju.out	0.007043	6431	1331809	Kordiimonadaceae
BP.kaiju.out	0.006999	6391	85002	Sphaerobacteraceae
BP.kaiju.out	0.006999	6391	145360	Sanguibacteraceae
BP.kaiju.out	0.006986	6379	1382930	Ardenticatenaceae
BP.kaiju.out	0.006966	6361	2968741	Chloroherpetonaceae
BP.kaiju.out	0.006946	6343	186821	Sporolactobacillaceae
BP.kaiju.out	0.006933	6331	2603322	Vallitaleaceae
BP.kaiju.out	0.006893	6294	2494208	Capsulimonadaceae
BP.kaiju.out	0.006778	6189	2904714	Desulfosalsimonadaceae
BP.kaiju.out	0.006777	6188	1643949	Petrotogaceae
BP.kaiju.out	0.006753	6166	2507544	Candidatus Termititenacaceae
BP.kaiju.out	0.006699	6117	31953	Bifidobacteriaceae
BP.kaiju.out	0.006658	6080	1648490	Rubritaleaceae
BP.kaiju.out	0.006562	5992	2137278	Salinarimonadaceae
BP.kaiju.out	0.006555	5986	2997384	Anaerosomataceae
BP.kaiju.out	0.006549	5980	1495648	Thermoflexaceae
BP.kaiju.out	0.006543	5975	2600303	Baekduiaceae
BP.kaiju.out	0.006496	5932	206349	Hydrogenophilaceae
BP.kaiju.out	0.006436	5877	580372	Mariprofundaceae
BP.kaiju.out	0.006411	5854	990719	Christensenellaceae
BP.kaiju.out	0.00641	5853	1738654	Woeseiaceae
BP.kaiju.out	0.006397	5841	2685818	Amorphaceae
BP.kaiju.out	0.00625	5707	1890422	Gloeobacteraceae
BP.kaiju.out	0.00608	5552	2800062	Robiginitomaculaceae
BP.kaiju.out	0.006056	5530	2932623	Sulfurospirillaceae
BP.kaiju.out	0.006022	5499	2844863	Tepidamorphaceae
BP.kaiju.out	0.006014	5492	533207	Acanthopleuribacteraceae
BP.kaiju.out	0.006002	5481	85034	Glycomycetaceae
BP.kaiju.out	0.005953	5436	188709	Thermotogaceae
BP.kaiju.out	0.005953	5436	1737406	Tissierellaceae
BP.kaiju.out	0.005921	5407	539000	Clostridiales Family XVII. Incertae Sedis
