file	percent	reads	taxon_id	taxon_name
BP.kaiju.out	0.014420	13167	392332	Geoalkalibacter
BP.kaiju.out	0.014420	13167	2886823	Desulfosediminicola
BP.kaiju.out	0.014411	13159	53246	Pseudoalteromonas
BP.kaiju.out	0.014376	13127	2807415	Urbifossiella
BP.kaiju.out	0.014306	13063	1854	Frankia
BP.kaiju.out	0.014247	13009	29330	Alicyclobacillus
BP.kaiju.out	0.014230	12994	1988031	Candidatus Promineifilum
BP.kaiju.out	0.014121	12894	2023705	Membranihabitans
BP.kaiju.out	0.014102	12877	59739	Flammeovirga
BP.kaiju.out	0.014053	12832	2035811	Pseudodesulfovibrio
BP.kaiju.out	0.014034	12815	2930254	Hanamia
BP.kaiju.out	0.014031	12812	2682247	Pseudorivibacter
BP.kaiju.out	0.014014	12797	85072	Allochromatium
BP.kaiju.out	0.014002	12786	280472	Aquiflexum
BP.kaiju.out	0.013998	12782	1134403	Melioribacter
BP.kaiju.out	0.013995	12779	1350	Enterococcus
BP.kaiju.out	0.013946	12735	86795	Marmoricola
BP.kaiju.out	0.013895	12688	1970191	Salinivirga
BP.kaiju.out	0.013883	12677	1016	Capnocytophaga
BP.kaiju.out	0.013799	12600	1769012	Arachidicoccus
BP.kaiju.out	0.013753	12558	1152	Pseudanabaena
BP.kaiju.out	0.013704	12514	376469	Olivibacter
BP.kaiju.out	0.013692	12503	72763	Tessaracoccus
BP.kaiju.out	0.013646	12461	2951106	Gracilinema
BP.kaiju.out	0.013642	12457	1434702	Taibaiella
BP.kaiju.out	0.013640	12455	240411	Chitinimonas
BP.kaiju.out	0.013571	12392	104175	Oscillochloris
BP.kaiju.out	0.013553	12376	1579506	Roseimaritima
BP.kaiju.out	0.013530	12355	66848	Desulfonatronum
BP.kaiju.out	0.013527	12352	1522128	Catalinimonas
BP.kaiju.out	0.013501	12328	221279	Candidatus Competibacter
BP.kaiju.out	0.013479	12308	93171	Candidatus Entotheonella
BP.kaiju.out	0.013477	12306	898	Desulfomicrobium
BP.kaiju.out	0.013412	12247	38501	Blastococcus
